Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Begin Path
4267	Spectrogram 1	1	50288.161901697	50288.266151697	857.1	857.1	0.104	0.0	-63.2	
4268	Spectrogram 1	1	50290.048702878	50290.153202878	851.5	851.5	0.105	0.0	-65.4	
4269	Spectrogram 1	1	50291.395452878	50291.499952878	851.5	851.5	0.105	0.0	-56.1	
4270	Spectrogram 1	1	50293.171952878	50293.276452878	851.5	851.5	0.105	0.0	-64.0	
4271	Spectrogram 1	1	50295.463817056	50295.463817056	834.7	834.7	0.000	0.0	-63.0	
4272	Spectrogram 1	1	50298.004286550	50298.139361846	812.3	812.3	0.135	0.0	-64.6	
4273	Spectrogram 1	1	50300.489656635	50300.582656635	823.5	823.5	0.093	0.0	-59.9	
4274	Spectrogram 1	1	50302.932951425	50303.037451425	812.3	812.3	0.105	0.0	-70.2	
4275	Spectrogram 1	1	50305.870899758	50305.901475054	789.9	789.9	0.031	0.0	-66.9	
4276	Spectrogram 1	1	50308.509146320	50308.613646320	789.9	789.9	0.105	0.0	-61.0	
4277	Spectrogram 1	1	50310.946389928	50311.039139928	767.5	767.5	0.093	0.0	-61.2	
4278	Spectrogram 1	1	50313.340034127	50313.444534127	745.1	745.1	0.104	0.0	-61.0	
4279	Spectrogram 1	1	50315.819353030	50315.923853030	722.7	722.7	0.105	0.0	-58.6	
4280	Spectrogram 1	1	50318.225771343	50318.330271343	733.9	733.9	0.104	0.0	-65.3	
4281	Spectrogram 1	1	50353.863593593	50353.863593593	1294.1	1294.1	0.000	0.0	-77.4	
4282	Spectrogram 1	1	50356.899318995	50356.992318995	1215.7	1215.7	0.093	0.0	-59.7	
4283	Spectrogram 1	1	50359.758315556	50359.758315556	1081.2	1081.2	0.000	0.0	-60.7	
4284	Spectrogram 1	1	50364.696432203	50364.696432203	1081.2	1081.2	0.000	0.0	-61.1	
4285	Spectrogram 1	1	50368.503262921	50368.503262921	1075.6	1075.6	0.000	0.0	-55.1	
4286	Spectrogram 1	1	50372.586295411	50372.586295411	1075.6	1075.6	0.000	0.0	-64.4	
4287	Spectrogram 1	1	50377.176333809	50377.280833809	1092.4	1092.4	0.105	0.0	-57.5	
4288	Spectrogram 1	1	50380.971664527	50381.076164527	1058.8	1058.8	0.105	0.0	-67.1	
4289	Spectrogram 1	1	50383.929712270	50383.960287565	1042.0	1042.0	0.031	0.0	-65.7	
4290	Spectrogram 1	1	50386.976937671	50387.081437671	1036.4	1036.4	0.105	0.0	-70.1	
4291	Spectrogram 1	1	50390.104638959	50390.209138959	986.0	986.0	0.105	0.0	-63.4	
4292	Spectrogram 1	1	50427.984099016	50428.100349016	1344.5	1344.5	0.116	0.0	-64.5	
4293	Spectrogram 1	1	50431.960583278	50432.053333278	1288.5	1288.5	0.093	0.0	-66.7	
4294	Spectrogram 1	1	50435.546663996	50435.546663996	1288.5	1288.5	0.000	0.0	-66.3	
4295	Spectrogram 1	1	50439.376322963	50439.469072963	1322.1	1322.1	0.093	0.0	-54.4	
4296	Spectrogram 1	1	50442.106295411	50442.106295411	1333.3	1333.3	0.000	0.0	-55.9	
4297	Spectrogram 1	1	50574.256482900	50574.349232900	991.6	991.6	0.093	0.0	-68.4	
4298	Spectrogram 1	1	50568.011366738	50568.011366738	1305.3	1305.3	0.000	0.0	-63.4	
4299	Spectrogram 1	1	50578.763566571	50578.856566571	1288.5	1288.5	0.093	0.0	-62.1	
4300	Spectrogram 1	1	50587.046742776	50587.181818071	1299.7	1299.7	0.135	0.0	-71.4	
4301	Spectrogram 1	1	50592.937720646	50593.042220646	1355.7	1355.7	0.105	0.0	-65.7	
4302	Spectrogram 1	1	50591.193645836	50591.193645836	1086.8	1086.8	0.000	0.0	-62.7	
4303	Spectrogram 1	1	50583.082412542	50583.082412542	1070.0	1070.0	0.000	0.0	-60.8	
4304	Spectrogram 1	1	50571.006607877	50571.067758468	1070.0	1070.0	0.061	0.0	-65.0	
4305	Spectrogram 1	1	50576.898609861	50576.898609861	1075.6	1075.6	0.000	0.0	-60.2	
4306	Spectrogram 1	1	50582.208657120	50582.208657120	1070.0	1070.0	0.000	0.0	-63.6	
4307	Spectrogram 1	1	50589.852472100	50589.956972100	980.4	980.4	0.105	0.0	-62.5	
4308	Spectrogram 1	1	50594.246284612	50594.350784612	873.9	873.9	0.105	0.0	-73.9	
4309	Spectrogram 1	1	50597.723088262	50597.723088262	980.4	980.4	0.000	0.0	-59.6	
4310	Spectrogram 1	1	50761.424470555	50761.528970555	1585.4	1585.4	0.104	0.0	-72.8	
4311	Spectrogram 1	1	50780.948861846	50781.053361846	1473.4	1473.4	0.105	0.0	-65.2	
4312	Spectrogram 1	1	50782.378316571	50782.471316571	1462.2	1462.2	0.093	0.0	-71.2	
4313	Spectrogram 1	1	50783.968223069	50784.072723069	593.8	593.8	0.105	0.0	-55.2	
4314	Spectrogram 1	1	50788.222337247	50788.326837247	1271.7	1271.7	0.104	0.0	-65.7	
4315	Spectrogram 1	1	50790.716900243	50790.821400243	1310.9	1310.9	0.105	0.0	-69.6	
4316	Spectrogram 1	1	50787.305223554	50787.305223554	1086.8	1086.8	0.000	0.0	-67.2	
4317	Spectrogram 1	1	50792.358909589	50792.463409589	1008.4	1008.4	0.105	0.0	-65.5	
4318	Spectrogram 1	1	50795.599174842	50795.599174842	1277.3	1277.3	0.000	0.0	-53.6	
4319	Spectrogram 1	1	50797.828605454	50797.933105454	997.2	997.2	0.105	0.0	-69.7	
4320	Spectrogram 1	1	50801.048032627	50801.152532627	997.2	997.2	0.104	0.0	-61.1	
4321	Spectrogram 1	1	50805.165643367	50805.281643367	1030.8	1030.8	0.116	0.0	-65.0	
4322	Spectrogram 1	1	50807.798862861	50807.903362861	1036.4	1036.4	0.104	0.0	-67.5	
4323	Spectrogram 1	1	50810.467684718	50810.572184718	1008.4	1008.4	0.104	0.0	-63.2	
4324	Spectrogram 1	1	50813.233681279	50813.233681279	969.2	969.2	0.000	0.0	-71.9	
4325	Spectrogram 1	1	50849.324771251	50849.324771251	1602.2	1602.2	0.000	0.0	-69.2	
4326	Spectrogram 1	1	50850.971834248	50850.971834248	1591.0	1591.0	0.000	0.0	-71.5	
4327	Spectrogram 1	1	50852.784797834	50852.784797834	1568.6	1568.6	0.000	0.0	-62.7	
4328	Spectrogram 1	1	50854.687963193	50854.687963193	1551.8	1551.8	0.000	0.0	-61.1	
4329	Spectrogram 1	1	50856.708652666	50856.801652666	1529.4	1529.4	0.093	0.0	-72.1	
4330	Spectrogram 1	1	50858.050212709	50858.142962709	1518.2	1518.2	0.093	0.0	-65.1	
4331	Spectrogram 1	1	50859.251420388	50859.398245684	1501.4	1501.4	0.147	0.0	-68.9	
4332	Spectrogram 1	1	50861.974067541	50861.974067541	1451.0	1451.0	0.000	0.0	-58.0	
4333	Spectrogram 1	1	50864.062208786	50864.166708786	1417.4	1417.4	0.105	0.0	-68.7	
4334	Spectrogram 1	1	50865.428042942	50865.428042942	1389.4	1389.4	0.000	0.0	-62.4	
4335	Spectrogram 1	1	50867.815385959	50867.815385959	1316.5	1316.5	0.000	0.0	-57.4	
4336	Spectrogram 1	1	50867.068795896	50867.203871191	857.1	857.1	0.135	0.0	-65.2	
4337	Spectrogram 1	1	50869.950620707	50870.104771297	862.7	868.3	0.154	5.6	-61.1	
4338	Spectrogram 1	1	50874.995308660	50875.088308660	952.4	952.4	0.093	0.0	-69.1	
4339	Spectrogram 1	1	50874.051468596	50874.155968596	1170.9	1170.9	0.104	0.0	-69.2	
4340	Spectrogram 1	1	50872.586324397	50872.586324397	1249.3	1249.3	0.000	0.0	-61.7	
4341	Spectrogram 1	1	50877.362525685	50877.467025685	1423.0	1423.0	0.105	0.0	-65.3	
4342	Spectrogram 1	1	50881.211998617	50881.211998617	902.0	902.0	0.000	0.0	-63.2	
4343	Spectrogram 1	1	50883.879796360	50883.984296360	879.6	879.6	0.105	0.0	-68.6	
4344	Spectrogram 1	1	50885.937362310	50886.060687605	902.0	902.0	0.123	0.0	-64.8	
4345	Spectrogram 1	1	50888.556533576	50888.556533576	935.6	935.6	0.000	0.0	-65.4	
4346	Spectrogram 1	1	51245.176637832	51245.269387832	1372.5	1372.5	0.093	0.0	-68.2	
4347	Spectrogram 1	1	51247.662007917	51247.662007917	1322.1	1322.1	0.000	0.0	-63.3	
4348	Spectrogram 1	1	51248.801040892	51248.801040892	1316.5	1316.5	0.000	0.0	-71.0	
4349	Spectrogram 1	1	51250.662130955	51250.766630955	1294.1	1294.1	0.104	0.0	-73.0	
4350	Spectrogram 1	1	51252.964299268	51252.964299268	1260.5	1260.5	0.000	0.0	-72.7	
4351	Spectrogram 1	1	51255.081741695	51255.186241695	1305.3	1305.3	0.105	0.0	-65.8	
4352	Spectrogram 1	1	51256.741578805	51256.846078805	1316.5	1316.5	0.105	0.0	-68.3	
4353	Spectrogram 1	1	51252.481712643	51252.481712643	879.6	879.6	0.000	0.0	-66.5	
4354	Spectrogram 1	1	51254.587655069	51254.692155069	851.5	851.5	0.105	0.0	-65.6	
4355	Spectrogram 1	1	51256.920148677	51256.950723973	840.3	840.3	0.031	0.0	-64.7	
4356	Spectrogram 1	1	51270.884432667	51270.988932667	1641.5	1641.5	0.105	0.0	-64.8	
4357	Spectrogram 1	1	51271.659032077	51271.763532077	1490.2	1490.2	0.105	0.0	-64.8	
4358	Spectrogram 1	1	51272.599532077	51272.692282077	1490.2	1490.2	0.093	0.0	-65.4	
4359	Spectrogram 1	1	51273.632782077	51273.737282077	1490.2	1490.2	0.104	0.0	-65.0	
4360	Spectrogram 1	1	51276.024532077	51276.129032077	1490.2	1490.2	0.105	0.0	-80.7	
4361	Spectrogram 1	1	51274.805264355	51274.898264355	1294.1	1294.1	0.093	0.0	-65.7	
4362	Spectrogram 1	1	51277.071580304	51277.164580304	1215.7	1215.7	0.093	0.0	-75.3	
4363	Spectrogram 1	1	51279.212255009	51279.316755009	1159.7	1159.7	0.104	0.0	-64.5	
4364	Spectrogram 1	1	51281.277480895	51281.381980895	1142.9	1142.9	0.104	0.0	-65.8	
4365	Spectrogram 1	1	51283.053980895	51283.158480895	1142.9	1142.9	0.104	0.0	-68.0	
4366	Spectrogram 1	1	51284.412230895	51284.516730895	1142.9	1142.9	0.105	0.0	-71.3	
4367	Spectrogram 1	1	51288.023407538	51288.127907538	1350.1	1350.1	0.105	0.0	-69.4	
4368	Spectrogram 1	1	51289.486157538	51289.579157538	1350.1	1350.1	0.093	0.0	-72.2	
4369	Spectrogram 1	1	51291.397319944	51291.490069944	1333.3	1333.3	0.093	0.0	-68.5	
4370	Spectrogram 1	1	51293.835587666	51293.940087666	1294.1	1294.1	0.104	0.0	-70.8	
4371	Spectrogram 1	1	51295.751777139	51295.844527139	1271.7	1271.7	0.093	0.0	-82.9	
4372	Spectrogram 1	1	51298.230846042	51298.335346042	1232.5	1232.5	0.105	0.0	-68.6	
4373	Spectrogram 1	1	51301.628697920	51301.744697920	1182.1	1182.1	0.116	0.0	-66.5	
4374	Spectrogram 1	1	51291.589688044	51291.589688044	756.3	756.3	0.000	0.0	-67.3	
4375	Spectrogram 1	1	51294.521163446	51294.625663446	717.1	717.1	0.105	0.0	-65.8	
4376	Spectrogram 1	1	51297.904967096	51297.935542392	700.3	700.3	0.031	0.0	-70.8	
4377	Spectrogram 1	1	51301.233671337	51301.399321928	705.9	705.9	0.166	0.0	-73.7	
4378	Spectrogram 1	1	51303.748592604	51303.864592604	728.3	728.3	0.116	0.0	-73.3	
4379	Spectrogram 1	1	51358.131782031	51358.131782031	1535.0	1535.0	0.000	0.0	-76.8	
4380	Spectrogram 1	1	51360.231423276	51360.335923276	1535.0	1535.0	0.105	0.0	-77.0	
4381	Spectrogram 1	1	51367.619167369	51367.723667369	902.0	902.0	0.105	0.0	-72.8	
4382	Spectrogram 1	1	51369.263923276	51369.263923276	857.1	857.1	0.000	0.0	-74.7	
4383	Spectrogram 1	1	51371.088386863	51371.181136863	829.1	829.1	0.093	0.0	-65.0	
4384	Spectrogram 1	1	51372.766025154	51372.901100450	829.1	829.1	0.135	0.0	-69.9	
4385	Spectrogram 1	1	51374.578988741	51374.578988741	806.7	806.7	0.000	0.0	-73.7	
4386	Spectrogram 1	1	51376.873581758	51376.873581758	767.5	767.5	0.000	0.0	-67.0	
4387	Spectrogram 1	1	51379.144924776	51379.144924776	750.7	750.7	0.000	0.0	-68.1	
4388	Spectrogram 1	1	51381.122264839	51381.215264839	745.1	745.1	0.093	0.0	-89.1	
4389	Spectrogram 1	1	51383.638210220	51383.742710220	745.1	745.1	0.105	0.0	-77.5	
4390	Spectrogram 1	1	51387.050282077	51387.143032077	739.5	739.5	0.093	0.0	-67.0	
4391	Spectrogram 1	1	51390.464661023	51390.557411023	705.9	705.9	0.093	0.0	-73.5	
4392	Spectrogram 1	1	51392.417476972	51392.583127563	700.3	700.3	0.166	0.0	-64.9	
4393	Spectrogram 1	1	51394.590018808	51394.590018808	689.1	689.1	0.000	0.0	-68.2	
4394	Spectrogram 1	1	51396.401458281	51396.401458281	672.3	672.3	0.000	0.0	-75.1	
4395	Spectrogram 1	1	51398.366024231	51398.501099526	649.9	649.9	0.135	0.0	-68.4	
4396	Spectrogram 1	1	51400.013337227	51400.117837227	633.1	633.1	0.105	0.0	-70.4	
4397	Spectrogram 1	1	51814.106234772	51814.210734772	1176.5	1176.5	0.105	0.0	-73.9	
4398	Spectrogram 1	1	51816.908083697	51817.000833697	1120.4	1120.4	0.093	0.0	-71.7	
4399	Spectrogram 1	1	51820.096685575	51820.127260871	1109.2	1109.2	0.031	0.0	-80.9	
4400	Spectrogram 1	1	51823.651166884	51823.651166884	1109.2	1109.2	0.000	0.0	-70.4	
4401	Spectrogram 1	1	51826.269314036	51826.330464627	1131.7	1131.7	0.061	0.0	-78.7	
4402	Spectrogram 1	1	51829.463192982	51829.567692982	1120.4	1120.4	0.105	0.0	-81.3	
4403	Spectrogram 1	1	51831.641536000	51831.734536000	1120.4	1120.4	0.093	0.0	-65.1	
4404	Spectrogram 1	1	51833.992080789	51833.992080789	1086.8	1086.8	0.000	0.0	-68.8	
4405	Spectrogram 1	1	51833.485066021	51833.558990725	661.1	661.1	0.074	0.0	-73.1	
4406	Spectrogram 1	1	51838.523679714	51838.523679714	935.6	935.6	0.000	0.0	-79.5	
4407	Spectrogram 1	1	51844.788746148	51844.881496148	1103.6	1103.6	0.093	0.0	-57.5	
4408	Spectrogram 1	1	51840.813948890	51840.813948890	1366.9	1366.9	0.000	0.0	-69.4	
4409	Spectrogram 1	1	51842.816587181	51842.909587181	1243.7	1243.7	0.093	0.0	-62.3	
4410	Spectrogram 1	1	51847.675752055	51847.780252055	1327.7	1327.7	0.105	0.0	-68.4	
4411	Spectrogram 1	1	51850.056622140	51850.172872140	1305.3	1305.3	0.116	0.0	-71.6	
4412	Spectrogram 1	1	51852.828919883	51852.963995179	1322.1	1327.7	0.135	5.6	-71.4	
4413	Spectrogram 1	1	51855.129814082	51855.222814082	1322.1	1322.1	0.093	0.0	-69.3	
4414	Spectrogram 1	1	51857.144030623	51857.236780623	1327.7	1327.7	0.093	0.0	-75.2	
4415	Spectrogram 1	1	51858.773292437	51858.908367733	1322.1	1322.1	0.135	0.0	-70.3	
4416	Spectrogram 1	1	51900.403459689	51900.507959689	1327.7	1327.7	0.105	0.0	-74.1	
4417	Spectrogram 1	1	51902.455998571	51902.455998571	1333.3	1333.3	0.000	0.0	-71.6	
4418	Spectrogram 1	1	51903.531323867	51903.531323867	1333.3	1333.3	0.000	0.0	-74.0	
4419	Spectrogram 1	1	51905.549284500	51905.653784500	1451.0	1451.0	0.105	0.0	-68.8	
4420	Spectrogram 1	1	51907.294796314	51907.294796314	1456.6	1456.6	0.000	0.0	-73.1	
4421	Spectrogram 1	1	51909.461639332	51909.566139332	1462.2	1462.2	0.105	0.0	-62.6	
4422	Spectrogram 1	1	51911.214476442	51911.214476442	1271.7	1271.7	0.000	0.0	-78.0	
4423	Spectrogram 1	1	51914.017349480	51914.110099480	1092.4	1092.4	0.093	0.0	-66.5	
4424	Spectrogram 1	1	51916.668370156	51916.772870156	1154.1	1154.1	0.105	0.0	-80.9	
4425	Spectrogram 1	1	51916.282382455	51916.398632455	1479.0	1479.0	0.116	0.0	-63.4	
4426	Spectrogram 1	1	51918.791252540	51918.884002540	1467.8	1467.8	0.093	0.0	-58.1	
4427	Spectrogram 1	1	51921.123746148	51921.228246148	1462.2	1462.2	0.105	0.0	-53.9	
4428	Spectrogram 1	1	51921.065315536	51921.169815536	991.6	991.6	0.104	0.0	-65.8	
4429	Spectrogram 1	1	51923.995507963	51924.100007963	958.0	958.0	0.105	0.0	-69.1	
4430	Spectrogram 1	1	51927.142206297	51927.172781592	1120.4	1120.4	0.031	0.0	-82.9	
4431	Spectrogram 1	1	51947.773782077	51947.878282077	1462.2	1462.2	0.105	0.0	-72.9	
4432	Spectrogram 1	1	51950.348570959	51950.441570959	1266.1	1266.1	0.093	0.0	-68.8	
4433	Spectrogram 1	1	51953.367769293	51953.367769293	1232.5	1232.5	0.000	0.0	-65.5	
4434	Spectrogram 1	1	51956.679946466	51956.784446466	1103.6	1103.6	0.105	0.0	-77.9	
4435	Spectrogram 1	1	51960.994807206	51961.099307206	1008.4	1008.4	0.105	0.0	-74.8	
4436	Spectrogram 1	1	51963.242297860	51963.346797860	963.6	963.6	0.105	0.0	-72.4	
4437	Spectrogram 1	1	51966.071743240	51966.071743240	930.0	930.0	0.000	0.0	-82.3	
4438	Spectrogram 1	1	52136.967358826	52137.071858826	1176.5	1176.5	0.105	0.0	-72.3	
4439	Spectrogram 1	1	52140.320587181	52140.425087181	1098.0	1098.0	0.105	0.0	-71.4	
4440	Spectrogram 1	1	52143.305637878	52143.429213173	1047.6	1047.6	0.124	0.0	-65.1	
4441	Spectrogram 1	1	52146.035860326	52146.097010916	997.2	997.2	0.061	0.0	-70.6	
4442	Spectrogram 1	1	52149.639742225	52149.805392816	958.0	958.0	0.166	0.0	-76.0	
4443	Spectrogram 1	1	52153.501250602	52153.605750602	1282.9	1282.9	0.105	0.0	-72.3	
4444	Spectrogram 1	1	52131.775152600	52131.868152600	1282.9	1282.9	0.093	0.0	-67.2	
4445	Spectrogram 1	1	52134.506399162	52134.622399162	902.0	902.0	0.116	0.0	-73.6	
4446	Spectrogram 1	1	52141.230657054	52141.346657054	1473.4	1473.4	0.116	0.0	-65.3	
4447	Spectrogram 1	1	52144.901138363	52145.066788953	1501.4	1501.4	0.166	0.0	-66.4	
4448	Spectrogram 1	1	52152.592055706	52152.685055706	1053.2	1053.2	0.093	0.0	-70.2	
4449	Spectrogram 1	1	52155.483925791	52155.483925791	1579.8	1579.8	0.000	0.0	-66.4	
4450	Spectrogram 1	1	52157.870244694	52157.993819990	885.2	885.2	0.124	0.0	-79.1	
4451	Spectrogram 1	1	52162.461557206	52162.461557206	1165.3	1165.3	0.000	0.0	-72.5	
4452	Spectrogram 1	1	52166.102737333	52166.102737333	1361.3	1361.3	0.000	0.0	-71.2	
4453	Spectrogram 1	1	52203.080691483	52203.185191483	1070.0	1070.0	0.105	0.0	-65.5	
4454	Spectrogram 1	1	52207.156226926	52207.260726926	1081.2	1081.2	0.105	0.0	-71.4	
4455	Spectrogram 1	1	52210.295428214	52210.326003509	1170.9	1170.9	0.031	0.0	-76.7	
4456	Spectrogram 1	1	52212.626647708	52212.761723004	1137.3	1137.3	0.135	0.0	-70.6	
4457	Spectrogram 1	1	52214.132584227	52214.256159523	1120.4	1120.4	0.124	0.0	-80.2	
4458	Spectrogram 1	1	52215.713719565	52215.818219565	1361.3	1361.3	0.104	0.0	-64.5	
4459	Spectrogram 1	1	52218.107785515	52218.231110810	862.7	862.7	0.123	0.0	-76.7	
4460	Spectrogram 1	1	52221.877318005	52221.877318005	773.1	773.1	0.000	0.0	-101.7	
4461	Spectrogram 1	1	52224.808793407	52224.943868702	795.5	795.5	0.135	0.0	-70.3	
4462	Spectrogram 1	1	52227.049561129	52227.080136424	761.9	761.9	0.031	0.0	-79.1	
4463	Spectrogram 1	1	52230.922569505	52230.922569505	705.9	705.9	0.000	0.0	-65.8	
4464	Spectrogram 1	1	52232.735704843	52232.828704843	1092.4	1092.4	0.093	0.0	-66.3	
4465	Spectrogram 1	1	52206.044487241	52206.148987241	907.6	907.6	0.105	0.0	-63.8	
4466	Spectrogram 1	1	52335.295610765	52335.295610765	857.1	857.1	0.000	0.0	-63.3	
4467	Spectrogram 1	1	52340.861760386	52340.954760386	789.9	789.9	0.093	0.0	-73.6	
4468	Spectrogram 1	1	52344.459591104	52344.552591104	806.7	806.7	0.093	0.0	-73.3	
4469	Spectrogram 1	1	52349.023057160	52349.115807160	806.7	806.7	0.093	0.0	-63.4	
4470	Spectrogram 1	1	52352.089357857	52352.193857857	812.3	812.3	0.105	0.0	-61.6	
4471	Spectrogram 1	1	52354.953381486	52354.983956781	795.5	795.5	0.031	0.0	-80.6	
4472	Spectrogram 1	1	52357.463275685	52357.463275685	767.5	767.5	0.000	0.0	-73.4	
4473	Spectrogram 1	1	52363.491789968	52363.491789968	689.1	689.1	0.000	0.0	-70.9	
4474	Spectrogram 1	1	52342.771939014	52342.771939014	1254.9	1254.9	0.000	0.0	-82.7	
4475	Spectrogram 1	1	52347.293492664	52347.386492664	1114.8	1114.8	0.093	0.0	-71.8	
4476	Spectrogram 1	1	52480.266272201	52480.370772201	1131.7	1137.3	0.104	5.6	-80.0	
4477	Spectrogram 1	1	52490.837740241	52490.837740241	1210.1	1210.1	0.000	0.0	-75.5	
4478	Spectrogram 1	1	52488.262235303	52488.355235303	761.9	761.9	0.093	0.0	-66.8	
4479	Spectrogram 1	1	52493.238252540	52493.238252540	733.9	733.9	0.000	0.0	-73.4	
4480	Spectrogram 1	1	52497.406700874	52497.406700874	722.7	722.7	0.000	0.0	-69.2	
4481	Spectrogram 1	1	52502.134793407	52502.227543407	700.3	700.3	0.093	0.0	-60.5	
4482	Spectrogram 1	1	52506.290304737	52506.406304737	745.1	745.1	0.116	0.0	-68.2	
4483	Spectrogram 1	1	52509.583406615	52509.687906615	1014.0	1014.0	0.104	0.0	-67.4	
4484	Spectrogram 1	1	52500.675932667	52500.768682667	1294.1	1294.1	0.093	0.0	-82.5	
4485	Spectrogram 1	1	52614.628691483	52614.628691483	834.7	834.7	0.000	0.0	-72.1	
4486	Spectrogram 1	1	52618.966630471	52619.071130471	806.7	806.7	0.105	0.0	-72.0	
4487	Spectrogram 1	1	52622.686762370	52622.686762370	784.3	784.3	0.000	0.0	-66.2	
4488	Spectrogram 1	1	52624.895680683	52625.019255978	773.1	773.1	0.124	0.0	-68.4	
4489	Spectrogram 1	1	52627.442451359	52627.473026654	767.5	767.5	0.031	0.0	-72.3	
4490	Spectrogram 1	1	52629.800493194	52629.935568490	801.1	801.1	0.135	0.0	-69.2	
4491	Spectrogram 1	1	52631.822456781	52631.926706781	784.3	784.3	0.104	0.0	-71.0	
4492	Spectrogram 1	1	52633.738396254	52633.738396254	767.5	767.5	0.000	0.0	-69.6	
4493	Spectrogram 1	1	52635.551359841	52635.551359841	750.7	750.7	0.000	0.0	-77.0	
4494	Spectrogram 1	1	52637.730976972	52637.835476972	733.9	733.9	0.105	0.0	-73.5	
4495	Spectrogram 1	1	52640.369473534	52640.473723534	733.9	733.9	0.104	0.0	-69.4	
4496	Spectrogram 1	1	52642.254837712	52642.254837712	733.9	733.9	0.000	0.0	-73.4	
4497	Spectrogram 1	1	52644.782533092	52644.887033092	711.5	711.5	0.104	0.0	-71.0	
4498	Spectrogram 1	1	52647.451604949	52647.617255540	711.5	711.5	0.166	0.0	-77.3	
4499	Spectrogram 1	1	52650.120426806	52650.224926806	705.9	705.9	0.105	0.0	-78.3	
4500	Spectrogram 1	1	52621.737935575	52621.842435575	1215.7	1215.7	0.105	0.0	-65.4	
4501	Spectrogram 1	1	52617.356638317	52617.387213612	1305.3	1305.3	0.031	0.0	-79.0	
4502	Spectrogram 1	1	52627.252979880	52627.252979880	1221.3	1221.3	0.000	0.0	-66.7	
4503	Spectrogram 1	1	52631.511717096	52631.616217096	1232.5	1232.5	0.105	0.0	-59.4	
4504	Spectrogram 1	1	52635.514773700	52635.607773700	1159.7	1159.7	0.093	0.0	-76.6	
4505	Spectrogram 1	1	52641.119073913	52641.211823913	1170.9	1170.9	0.093	0.0	-84.5	
4506	Spectrogram 1	1	52644.255296360	52644.359796360	1137.3	1137.3	0.105	0.0	-76.0	
4507	Spectrogram 1	1	52648.851033576	52648.943783576	1142.9	1142.9	0.093	0.0	-65.1	
4508	Spectrogram 1	1	52651.599831320	52651.599831320	1131.7	1131.7	0.000	0.0	-69.5	
4509	Spectrogram 1	1	52654.481656130	52654.481656130	1120.4	1120.4	0.000	0.0	-67.4	
4510	Spectrogram 1	1	52656.537947966	52656.661523262	1120.4	1126.1	0.124	5.6	-72.7	
4511	Spectrogram 1	1	52654.774626109	52654.909701404	621.8	621.8	0.135	0.0	-65.8	
4512	Spectrogram 1	1	52660.317775731	52660.410525731	616.2	616.2	0.093	0.0	-80.4	
4513	Spectrogram 1	1	52754.822167853	52754.926667853	991.6	991.6	0.105	0.0	-73.4	
4514	Spectrogram 1	1	52759.581859795	52759.674609795	1036.4	1036.4	0.093	0.0	-62.2	
4515	Spectrogram 1	1	52765.594888847	52765.594888847	1120.4	1120.4	0.000	0.0	-63.0	
4516	Spectrogram 1	1	52770.666634924	52770.759384924	1193.3	1193.3	0.093	0.0	-70.6	
4517	Spectrogram 1	1	52775.484748617	52775.577498617	868.3	868.3	0.093	0.0	-75.5	
4518	Spectrogram 1	1	52795.588524715	52795.693024715	1221.3	1221.3	0.105	0.0	-76.3	
4519	Spectrogram 1	1	52799.535457796	52799.535457796	1210.1	1210.1	0.000	0.0	-66.5	
4520	Spectrogram 1	1	52803.488442059	52803.592942059	1198.9	1198.9	0.105	0.0	-78.8	
4521	Spectrogram 1	1	52793.396287499	52793.489037499	1411.8	1411.8	0.093	0.0	-72.6	
4522	Spectrogram 1	1	52805.664460265	52805.726884970	1417.4	1417.4	0.062	0.0	-66.5	
4523	Spectrogram 1	1	52974.308832243	52974.413332243	1120.4	1120.4	0.105	0.0	-71.8	
4524	Spectrogram 1	1	52978.493894754	52978.628970050	1126.1	1126.1	0.135	0.0	-64.7	
4525	Spectrogram 1	1	52984.513224988	52984.678875579	1126.1	1126.1	0.166	0.0	-66.0	
4526	Spectrogram 1	1	52988.220582773	52988.416808660	1131.7	1137.3	0.196	5.6	-71.9	
4527	Spectrogram 1	1	52992.325419399	52992.509895285	1126.1	1126.1	0.184	0.0	-78.0	
4528	Spectrogram 1	1	52994.889741256	52994.982741256	1120.4	1120.4	0.093	0.0	-77.6	
4529	Spectrogram 1	1	52969.969842558	52969.969842558	1383.8	1383.8	0.000	0.0	-77.8	
4530	Spectrogram 1	1	52982.235304206	52982.235304206	1479.0	1479.0	0.000	0.0	-69.2	
4531	Spectrogram 1	1	52998.716825412	52998.809825412	638.7	638.7	0.093	0.0	-69.8	
4532	Spectrogram 1	1	53118.965734818	53119.058484818	1260.5	1260.5	0.093	0.0	-67.9	
4533	Spectrogram 1	1	53123.001990725	53123.106490725	1260.5	1260.5	0.105	0.0	-69.4	
4534	Spectrogram 1	1	53125.468535515	53125.468535515	1226.9	1226.9	0.000	0.0	-69.2	
4535	Spectrogram 1	1	53128.216559144	53128.351634440	1198.9	1198.9	0.135	0.0	-74.6	
4536	Spectrogram 1	1	53131.448510432	53131.448510432	1187.7	1187.7	0.000	0.0	-67.6	
4537	Spectrogram 1	1	53134.735561129	53134.840061129	1176.5	1176.5	0.104	0.0	-70.5	
